Title,Date,Link
"Conflict Minerals Disclosures Due May 31, 2024","May 2, 2024",https://www.skadden.com/insights/publications/2024/05/conflict-minerals-disclosures-due-may-31-2024
REPO for Ukrainians Act Provides for the ‘Repurposing’ of Seized Russian Sovereign Assets,"May 2, 2024",https://www.skadden.com/insights/publications/2024/05/repo-for-ukrainians-act
UK Court of Appeal Signals Greater Scrutiny of CMA Merger Decisions,"May 2, 2024",https://www.skadden.com/insights/publications/2024/05/uk-court-of-appeal-signals
UK Regulators Publish Approaches to AI Regulation in Financial Services,"May 2, 2024",https://www.skadden.com/insights/publications/2024/05/uk-regulators-publish-approaches-to-ai
UK Reforms Phase 2 Merger Review Process,"May 1, 2024",https://www.skadden.com/insights/publications/2024/05/uk-reforms-phase-2-merger-review-process
U.S. MNEs Must Tackle Transfer Pricing As Pillar Two Progresses,"May 1, 2024",https://www.skadden.com/insights/publications/2024/05/us-mnes-must-tackle
Final ‘Domestically Controlled REIT’ Regulations Retain Corporate Look-Through With Some Modifications,"April 30, 2024",https://www.skadden.com/insights/publications/2024/04/final-domestically-controlled-reit-regulations
The Standard Formula: A Guide to Solvency II – Chapter 6: Investment Rules,April 2024,https://www.skadden.com/insights/publications/2024/04/the-standard-formula-a-guide-to-solvency-ii-chapter-6
The UK’s Pursuit of Open Finance,"April 29, 2024",https://www.skadden.com/insights/publications/2024/04/the-uks-pursuit-of-open-finance
UK Takeover Panel Proposes Narrowing the Scope of Companies Subject to the Takeover Code,"April 29, 2024",https://www.skadden.com/insights/publications/2024/04/uk-takeover-panel
DOL Finalizes Investment Advice Fiduciary Rule,"April 26, 2024",https://www.skadden.com/insights/publications/2024/04/dol-finalizes-investment-advice-fiduciary-rule
EU and UK Consider First Stand-Alone Disparagement Cases,"April 26, 2024",https://www.skadden.com/insights/publications/2024/04/eu-and-uk-consider-first
HKEx Announces Consultation Conclusion for New Treasury Shares Rules,"April 26, 2024",https://www.skadden.com/insights/publications/2024/04/hkex-announces-consultation-conclusion
Unpacking the Bill to Extend TCJA's Biz-Friendly Tax Breaks,"April 26, 2024",https://www.skadden.com/insights/publications/2024/04/unpacking-the-bill
FCA Proposes Introducing Bundled Payments Option for Investment Research Services,"April 25, 2024",https://www.skadden.com/insights/publications/2024/04/fca-proposes-introducing-bundled-payments-option
How Companies Should Be Thinking About Disclosing AI Usage to Consumers,April 2024,https://www.skadden.com/insights/publications/2024/04/how-companies-should-be-thinking-about-disclosing-ai-usage-to-consumers
7th Circ. Mootness Fee Case May Curb Frivolous Merger Suits,"April 24, 2024",https://www.skadden.com/insights/publications/2024/04/7th-circ-mootness
BIS Reduces Licensing Requirements on Exports to Australia and the UK,"April 24, 2024",https://www.skadden.com/insights/publications/2024/04/bis-reduces-licensing-requirements
"CFIUS’ Proposed Rule: More Questions, Tighter Time Frames and Higher Penalties","April 24, 2024",https://www.skadden.com/insights/publications/2024/04/cfius-proposed-rule
CFTC Enforcement Director Addresses Self-Reporting Benefits,"April 24, 2024",https://www.skadden.com/insights/publications/2024/04/cftc-enforcement-director-addresses-self-reporting-benefits
FTC Noncompete Ban Signals Rising Labor Focus in Antitrust,"April 24, 2024",https://www.skadden.com/insights/publications/2024/04/ftc-noncompete-ban-signals-rising-labor-focus-in-antitrust
FTC’s Final Rule Banning Worker Noncompete Clauses: What It Means for Employers,"April 24, 2024",https://www.skadden.com/insights/publications/2024/04/ftcs-final-rule-banning-worker-noncompete-clauses
SEC Penalizes Adviser in New Rule 206(4)-5 Proceeding,"April 24, 2024",https://www.skadden.com/insights/publications/2024/04/sec-penalizes-adviser-in-new-rule
"Skadden Discusses Proposed DGCL Amendments' Impact on Stockholder Agreements, M&A Practices","April 24, 2024",https://www.skadden.com/insights/publications/2024/04/skadden-discusses-proposed-dgcl-amendments
UK Takeover Panel Proposes Narrowing the Scope of Companies Subject to the Takeover Code,"April 24, 2024",https://www.skadden.com/insights/publications/2024/04/uk-takeover-panel-proposes-narrowing-the-scope-of-companies-subject-to-the-takeover-code
2024 Supreme Court Term May Bring More Change to Administrative Law,"April 23, 2024",https://www.skadden.com/insights/publications/2024/04/2024-supreme-court-term
Does Your Company’s Reorganization or Spin-Off Require FDI Approval?,April 2024,https://www.skadden.com/insights/publications/2024/04/does-your-companys-reorganization
"DOJ Pilot Program Promises Non-Prosecution Agreements to Individuals Reporting Fraud, Bribery and Other Corporate Crimes","April 23, 2024",https://www.skadden.com/insights/publications/2024/04/doj-pilot-program-promises-non-prosecution-agreements
FTC Expected To Issue Final Rule Banning Many Noncompetes on April 23,"April 19, 2024",https://www.skadden.com/insights/publications/2024/04/ftc-expected-to-issue-final-rule-banning-most-noncompetes
CPPA’s First Enforcement Advisory Focuses on Applying Data Minimization Principles to Consumer Requests,"April 18, 2024",https://www.skadden.com/insights/publications/2024/04/cppas-first-enforcement-advisory
Newly Proposed Regulations on Stock Buyback Excise Tax Largely Adopt Approach From Initial IRS Guidance,"April 18, 2024",https://www.skadden.com/insights/publications/2024/04/newly-proposed-regulations
Skadden Discusses Scotus Ruling That Omissions Not Actionable Under Section 10(B) of Exchange Act,"April 18, 2024",https://www.skadden.com/insights/publications/2024/04/skadden-discusses-scotus-ruling
Antitrust in Life Sciences: A Dialogue With Anna Vernet,"April 17, 2024",https://www.skadden.com/insights/publications/2024/04/antitrust-in-life-sciences
Judge Denies Plaintiffs Effort to Intervene in New York Copyright Actions Against OpenAI,"April 17, 2024",https://www.skadden.com/insights/publications/2024/04/judge-denies-plaintiffs
Macquarie Ruling Raises the Bar For Securities Fraud Claims,"April 17, 2024",https://www.skadden.com/insights/publications/2024/04/macquarie-ruling
Seventh Circuit Decision Outlines Framework To Allow Courts To Evaluate Individual Mootness Fees in Merger Challenge Lawsuits,"April 16, 2024",https://www.skadden.com/insights/publications/2024/04/seventh-circuit-decision-outlines-framework
Data Protection Rulings by European Regulators Offer Insights Into Their Security Expectations,"April 15, 2024",https://www.skadden.com/insights/publications/2024/04/data-protection-rulings
Alert for Kentucky Legislative Lobbyists and Legislative Lobbyist Employers,"April 12, 2024",https://www.skadden.com/insights/publications/2024/04/alert-for-kentucky-legislative
Supreme Court Holds Item 303 Omissions Are Not Actionable Under Section 10(b) of Exchange Act,"April 12, 2024",https://www.skadden.com/insights/publications/2024/04/supreme-court-holds-item-303-omissions
"The U.S. Government Is Using AI To Detect Potential Wrongdoing, and Companies Should, Too","April 12, 2024",https://www.skadden.com/insights/publications/2024/04/the-us-government-is-using-ai-to-detect-potential-wrongdoing
How DEI Programs Are Being Challenged in Court and Beyond,"April 11, 2024",https://www.skadden.com/insights/publications/2024/04/how-dei-programs
No More Safety Under the Radar: Antitrust Enforcement Against Roll-Ups and Serial Acquisitions,"April 11, 2024",https://www.skadden.com/insights/publications/2024/04/no-more-safety-under-the-radar
Tax Day Alert: Increased Interest on Deposits Will Cause More PACs To Owe Federal Income Tax,"April 11, 2024",https://www.skadden.com/insights/publications/2024/04/tax-day-alert-increased-interest-on-deposits
AI-Focused Procurement Playbook Refresh,"April 10, 2024",https://www.skadden.com/insights/publications/2024/04/ai-focused-procurement
"How NY Courts Balance Intent, Conduct and Statute of Limitations","April 10, 2024",https://www.skadden.com/insights/publications/2024/04/how-ny-courts-balance-intent-conduct-and-statute-of-limitations
SEC Climate Disclosure Rules: Your Questions Answered,"April 9, 2024",https://www.skadden.com/insights/publications/2024/04/sec-climate-disclosure-rules-your-questions-answered
2024 Annual Meeting Filing and Disclosure Requirements,"April 7, 2024",https://www.skadden.com/insights/publications/2024/04/2024-annual-meeting-filing
Private Capital Considerations Amid Market Revival,"April 5, 2024",https://www.skadden.com/insights/publications/2024/04/private-capital-considerations
Utah Becomes First State To Enact AI-Centric Consumer Protection Law,"April 5, 2024",https://www.skadden.com/insights/publications/2024/04/utah-becomes-first-state
EU and Germany Lay Groundwork for the Use of Medical Data for Research and AI Training,"April 4, 2024",https://www.skadden.com/insights/publications/2024/04/eu-and-germany-lay-groundwork
New Rules To Tackle Authorised Push Payment Fraud,"April 4, 2024",https://www.skadden.com/insights/publications/2024/04/new-rules-to-tackle-authorised-push-payment-fraud
Proposed DGCL Amendments Would Expressly Authorize Stockholders’ Agreements and Align DGCL Provisions With Current M&A Practices,"April 4, 2024",https://www.skadden.com/insights/publications/2024/04/proposed-dgcl-amendments
2024 Compensation Committee Handbook,2024,https://www.skadden.com/insights/publications/2024/04/2024-compensation-committee-handbook
HHS Office for Civil Rights Reaches Second Health Care Ransomware Settlement,"April 3, 2024",https://www.skadden.com/insights/publications/2024/04/hhs-office-for-civil-rights-reaches-second-health-care-ransomware-settlement
How 3 Unfolding Cases Could Affect the Energy Industry,"April 3, 2024",https://www.skadden.com/insights/publications/2024/04/how-3-unfolding-cases
Tennessee Law Addresses Proliferation of Deepfakes,"April 2, 2024",https://www.skadden.com/insights/publications/2024/04/tennessee-law-addresses-proliferation-of-deepfakes
SEC Adopts New Rules for Climate-Related Disclosures,"March 30, 2024",https://www.skadden.com/insights/publications/2024/03/sec-adopts-new-rules
The Standard Formula: A Guide to Solvency II – Chapter 5: The Matching Adjustment,March 2024,https://www.skadden.com/insights/publications/2024/03/the-standard-formula-a-guide-to-solvency-ii-chapter-5
EU Adopts First of a Series of Voluntary Cybersecurity Certification Schemes,"March 27, 2024",https://www.skadden.com/insights/publications/2024/03/eu-adopts-first-of-a-series-of-voluntary-cybersecurity-certification-schemes
Fighting Early Obsolescence: New EU Directive Extends Liability Risks,"March 27, 2024",https://www.skadden.com/insights/publications/2024/03/fighting-early-obsolescence
"Antitrust Enforcers Are Increasingly Focused on Labor Markets, and Not Just in the Merger Context",March 2024,https://www.skadden.com/insights/publications/2024/03/insights-special-edition/antitrust-enforcers-are-increasingly-focused
Broad Reforms to China’s Company Law Will Affect Most PRC Companies,March 2024,https://www.skadden.com/insights/publications/2024/03/insights-special-edition/broad-reforms-to-chinas-company-law
Corporate Boards Face ESG Pressure From Both the Left and Right,March 2024,https://www.skadden.com/insights/publications/2024/03/insights-special-edition/corporate-boards-face-esg-pressure
Corporate Trends and Financing,March 2024,https://www.skadden.com/insights/publications/2024/03/insights-special-edition/corporate-trends-and-financing
Employers Offering DEI Training Need To Monitor Both Pro- and Anti-DEI Court Challenges and Legislative Proposals,March 2024,https://www.skadden.com/insights/publications/2024/03/insights-special-edition/employers-offering-dei-training-need-to-monitor
Employment Flash – March 2024,March 2024,https://www.skadden.com/insights/publications/2024/03/employment-flash
FTC’s Proposed ‘Junk Fees’ Rule Could Force Businesses To Rethink Their Marketing and Pricing,March 2024,https://www.skadden.com/insights/publications/2024/03/insights-special-edition/ftcs-proposed-junk-fees
"HKEx Moves Forward With Diversity, Climate and Sustainability Initiatives",March 2024,https://www.skadden.com/insights/publications/2024/03/insights-special-edition/hkex-moves-forward-with-diversity
Hot Topics: AI and ESG,March 2024,https://www.skadden.com/insights/publications/2024/03/insights-special-edition/hot-topics-ai-and-esg
Insights Special Edition: Women’s History Month – March 2024,March 2024,https://www.skadden.com/insights/publications/2024/03/insights-special-edition/insights-special-edition-womens-history-month
Regulatory Developments; Litigation and Enforcement,March 2024,https://www.skadden.com/insights/publications/2024/03/insights-special-edition/litigation-and-enforcement
Managing Deal Risks in a Challenging Regulatory Environment: Strategies and Deal Terms,March 2024,https://www.skadden.com/insights/publications/2024/03/insights-special-edition/managing-deal-risks-in-a-challenging-regulatory-environment
New BIS Rule Imposes Stringent Export Control Restrictions Targeting Large Number of OFAC-Sanctioned Parties,"March 25, 2024",https://www.skadden.com/insights/publications/2024/03/new-bis-rule
New Developments Help Clarify Intersection of Patent Law and Artificial Intelligence,"March 25, 2024",https://www.skadden.com/insights/publications/2024/03/new-developments-help-clarify-intersection-of-patent-law-and-ai
Private Capital Remains an Attractive Alternative for Many Companies,March 2024,https://www.skadden.com/insights/publications/2024/03/insights-special-edition/private-capital-remains-an-attractive-alternative
Rising Challenges in Arbitration: Post-Award Bias Allegations and the Evolving Standards of Conflict Disclosure,March 2024,https://www.skadden.com/insights/publications/2024/03/insights-special-edition/rising-challenges-in-arbitration
State of Play on US Tax Proposals,March 2024,https://www.skadden.com/insights/publications/2024/03/insights-special-edition/state-of-play-on-us-tax-proposals
Taking Stock of Commodity Derivatives Regulation in the UK and EU,"March 25, 2024",https://www.skadden.com/insights/publications/2024/03/taking-stock-of-commodity-derivatives-regulation
The Meteoric Rise of Generative AI Has Regulators Gearing Up To Preserve Competition,March 2024,https://www.skadden.com/insights/publications/2024/03/insights-special-edition/the-meteoric-rise-of-generative-ai
"The US Government Is Using AI To Detect Potential Wrongdoing, and Companies Should Too",March 2024,https://www.skadden.com/insights/publications/2024/03/insights-special-edition/the-us-government-is-using-ai
"Three Unfolding Cases Could Shape Future Energy Litigation, and Perhaps Business Practices",March 2024,https://www.skadden.com/insights/publications/2024/03/insights-special-edition/three-unfolding-cases-could-shape-future
The Nucleus: Life Sciences Enforcement and Regulatory Updates – March 2024,March 2024,https://www.skadden.com/insights/publications/2024/03/the-nucleus
FCC Approves Voluntary Internet-of-Things Cybersecurity Labeling Program,"March 21, 2024",https://www.skadden.com/insights/publications/2024/03/fcc-approves-voluntary-internet-of-things-cybersecurity-labeling-program
Lenders May Soon Need To Prepare To Comply With the CFPB’s Small Business Rule,"March 21, 2024",https://www.skadden.com/insights/publications/2024/03/lenders-may-soon
2024 Annual Meeting Filing and Disclosure Requirements,"March 20, 2024",https://www.skadden.com/insights/publications/2024/03/annual-meeting-filing-and-disclosure-requirements
Skadden Discusses Litigation and Investigation Implications for Companies Adopting GenAI,"March 20, 2024",https://www.skadden.com/insights/publications/2024/03/skadden-discusses-litigation-and-investigation-implications-for-companies-adopting-genai
Lenders May Soon Need To Prepare To Comply With the CFPB’s Small Business Rule,"March 18, 2024",https://www.skadden.com/insights/publications/2024/03/lenders-may-soon-need-to-prepare-to-comply
Chicago’s New Lobbyist Registration Thresholds Take Effect July 1,"March 14, 2024",https://www.skadden.com/insights/publications/2024/03/chicago-new-lobbyist-registration-thresholds
PRA Announces Final Adjustments to ‘Solvency UK’ Rules and Consults on Requirements for ‘Solvent Exit’ Plans,"March 14, 2024",https://www.skadden.com/insights/publications/2024/03/pra-announces-final-adjustments
2023 Developments in SEC Rule 102(e) Enforcement Against Auditors,"March 12, 2024",https://www.skadden.com/insights/publications/2024/03/2023-developments-in-sec-rule-102e-enforcement-against-auditors
Challenge to Supermarket Merger Highlights FTC’s New Focus on Labor Markets,"March 12, 2024",https://www.skadden.com/insights/publications/2024/03/challenge-to-supermarket-merger
A Guide for Directors to Political Law Issues in This Election Year,"March 11, 2024",https://www.skadden.com/insights/publications/2024/03/a-guide-for-directors-to-political-law
Artificial Intelligence Is Monopolizing the Attention of Regulators and Lawmakers,"March 11, 2024",https://www.skadden.com/insights/publications/2024/03/artificial-intelligence-is-monopolizing
DOJ Announces Plan To Offer Monetary Rewards for Whistleblowers,"March 11, 2024",https://www.skadden.com/insights/publications/2024/03/doj-announces-plan-to-offer-monetary-rewards
EU Expands Restrictive Measures in 13th Russian Sanctions Package and Publishes Guidance,"March 11, 2024",https://www.skadden.com/insights/publications/2024/03/eu-expands-restrictive-measures
UK Publishes First Sanctions Strategy and New Licensing Guidance,"March 11, 2024",https://www.skadden.com/insights/publications/2024/03/uk-publishes-first-sanctions-strategy
SEC Adopts New Rules for Climate-Related Disclosures,"March 8, 2024",https://www.skadden.com/insights/publications/2024/03/sec-adopts-new-rules-for-climate-related-disclosures
A Fracturing Data Environment: Executive Order Portends Major Changes to US Data Management,"March 6, 2024",https://www.skadden.com/insights/publications/2024/03/a-fracturing-data-environment
Stealthy Political Law Issues — Ignore at Your Own Peril,"March 6, 2024",https://www.skadden.com/insights/publications/2024/03/stealthy-political-law-issues
FTC's Accelerating Agenda For Wide-Ranging Enforcement Against Junk Fees,March 2024,https://www.skadden.com/insights/publications/2024/03/ftcs-accelerating-agenda-for-wide-ranging-enforcement-against-junk-fees
Commerce Department Seeks Comment on Restrictions on ‘Connected Vehicle’ Components From ‘Foreign Adversaries’,"March 4, 2024",https://www.skadden.com/insights/publications/2024/03/commerce-department-seeks-comment-on-restrictions-on-connected-vehicle-components
Hong Kong Regulatory Update – March 2024,March 2024,https://www.skadden.com/insights/publications/2024/03/hong-kong-regulatory-update
Investment Trusts and Activist Funds: What UK Companies Need To Know,"March 4, 2024",https://www.skadden.com/insights/publications/2024/03/investment-trusts-and-activist-funds-what-uk-companies-need-to-know
Litigation and Investigation Implications for Companies Adopting GenAI,"March 4, 2024",https://www.skadden.com/insights/publications/2024/03/litigation-and-investigation-implications-for-companies-adopting-genai
DOJ Pharmaceutical & Medical Device Enforcement Continues in Line With Recent Trends,February 2024,https://www.skadden.com/insights/publications/2024/02/doj-pharmaceutical-medical-device-enforcement-continues-in-line-with-recent-trends
The Standard Formula: A Guide to Solvency II – Chapter 4: Groups,February 2024,https://www.skadden.com/insights/publications/2024/02/the-standard-formula-a-guide-to-solvency-ii-chapter-4
Intersection of Open Source and Web3,"February 28, 2024",https://www.skadden.com/insights/publications/2024/02/intersection-of-open-source-and-web3
"Reminder: New Jersey Pay-to-Play Form BE Due April 1, 2024","February 28, 2024",https://www.skadden.com/insights/publications/2024/02/reminder-new-jersey-pay-to-play-form-be-due
Skadden Discusses a Board's Role in Oversight of Cybersecurity Risks,"February 28, 2024",https://www.skadden.com/insights/publications/2024/02/skadden-discusses-a-boards-role-in-oversight-of-cybersecurity-risks
"UK Regulators Published Reforms and Proposals in January 2024 That Will Impact the Banking Sector, Including a Consultation on Managing Small Bank Failures","February 28, 2024",https://www.skadden.com/insights/publications/2024/02/uk-regulators-published-reforms-and-proposals
Inside the Courts – February 2024,February 2024,https://www.skadden.com/insights/publications/2024/02/inside-the-courts
Early Returns: 60 Days of New Fed. R. Evid. 702 in Product Liability Litigation,"February 26, 2024",https://www.skadden.com/insights/publications/2024/02/early-returns
Economic Crime and Corporate Transparency Act 2023 – Key Developments,"February 26, 2024",https://www.skadden.com/insights/publications/2024/02/economic-crime-and-corporate-transparency-act-2023
IRS Announces Plans To Increase Audits of Personal Use of Business Aircraft,"February 26, 2024",https://www.skadden.com/insights/publications/2024/02/irs-announces-plans-to-increase-audits-of-personal-use-of-business-aircraft
Recent Developments That Could Impact How Companies Offer AI-Based Customer Service Chatbots,"February 26, 2024",https://www.skadden.com/insights/publications/2024/02/recent-developments-that-could-impact-how-companies
"BIS Publishes Revisions to Export Administration Regulations, Loosening Restrictions on Certain Cameras and Imposing Controls on Others","February 23, 2024",https://www.skadden.com/insights/publications/2024/02/bis-publishes-revisions-to-export-administration-regulations
Skadden Discusses Increasing Shareholder Activism in Europe,"February 23, 2024",https://www.skadden.com/insights/publications/2024/02/skadden-discusses-increasing-shareholder
Understanding SEC’s Focus Amid Lack of Final AI Rules,"February 23, 2024",https://www.skadden.com/insights/publications/2024/02/understanding-sec-focus-amid-lack-of-final-ai-rules
When Is Out-of-State Out-of-Reach? Recent Application of NY’s Long-Arm Statute,"February 22, 2024",https://www.skadden.com/insights/publications/2024/02/when-is-out-of-state-out-of-reach
Fifth Circuit Reverses CFTC Penalty Judgment Under “Fair Notice” Doctrine,February 2024,https://www.skadden.com/insights/publications/2024/02/fifth-circuit-reverses-cftc-penalty-judgment
SEC Adopts Final Rules Affecting SPACs and De-SPACs and Provides Related Guidance,February 2024,https://www.skadden.com/insights/publications/2024/02/sec-adopts-final-rules-affecting-spacs-and-despacs-and-provides-related-guidance
Investment Management Update – February 2024,February 2024,https://www.skadden.com/insights/publications/2024/02/investment-management-update
Understanding SEC's Focus Amid Lack of Final AI Rules,"February 20, 2024",https://www.skadden.com/insights/publications/2024/02/understanding-secs-focus-amid-lack-of-final-ai-rules
6th Circ. Ruling Breathes New Life Into Article III Traceability,"February 16, 2024",https://www.skadden.com/insights/publications/2024/02/6th-circ-ruling
Skadden Discusses Final SEC Rules on SPACs and De-SPACs,"February 16, 2024",https://www.skadden.com/insights/publications/2024/02/skadden-discusses-final-sec-rules-on-spacs-and-despacs
Executive Compensation Considerations for the 2024 Annual Meeting and Reporting Season,"February 15, 2024",https://www.skadden.com/insights/publications/2024/02/executive-compensation-considerations-for-the-2024-annual-meeting-and-reporting-season
The European Commission’s Revised Market Definition Notice: A New Approach to Digital Markets,"February 14, 2024",https://www.skadden.com/insights/publications/2024/02/the-european-commissions-revised-market
US Multinationals Need a Plan for Pillar Two Dispute Resolution,"February 14, 2024",https://www.skadden.com/insights/publications/2024/02/us-multinationals-need-a-plan-for-pillar-two-dispute-resolution
A Guide for Directors to Political Law Issues in This Election Year,Winter 2024,https://www.skadden.com/insights/publications/2024/02/the-informed-board/a-guide-for-directors-to-political-law-issues
AI Executive Order: The Ramifications for Business Become Clearer,Winter 2024,https://www.skadden.com/insights/publications/2024/02/the-informed-board/ai-executive-order-the-ramifications-for-business-become-clearer
Emerging Expectations: The Board’s Role in Oversight of Cybersecurity Risks,Winter 2024,https://www.skadden.com/insights/publications/2024/02/the-informed-board/emerging-expectations
Know Your Cloud Customer: Commerce Department Proposes To Regulate Foreign Access to US IaaS Products,"February 13, 2024",https://www.skadden.com/insights/publications/2024/02/know-your-iaas-customer
Seven Myths About the US Law Banning Imports Made With Forced Labor,Winter 2024,https://www.skadden.com/insights/publications/2024/02/the-informed-board/seven-myths-about-the-us-law-banning-imports
Shareholder Activism Continues To Increase and Spread in Europe,Winter 2024,https://www.skadden.com/insights/publications/2024/02/the-informed-board/shareholder-activism-continues-to-increase-and-spread
Takeaways From 9th Circ. Nix of Ex-GOP Rep.'s Conviction,"February 13, 2024",https://www.skadden.com/insights/publications/2024/02/takeaways-from-9th-circ-nix
The Informed Board – Winter 2024,Winter 2024,https://www.skadden.com/insights/publications/2024/02/the-informed-board/the-informed-board
"Caution, Merging Ahead: The FTC and DOJ’s New Merger Guidelines","February 12, 2024",https://www.skadden.com/insights/publications/2024/02/caution-merging-ahead
FTC Announces 2024 HSR Notification Thresholds and Filing Fees,"February 8, 2024",https://www.skadden.com/insights/publications/2024/02/ftc-announces-new-hsr-notification
Impacts of the 2023 Banking Crisis on Mid-Sized & Regional Banks,February 2024,https://www.skadden.com/insights/publications/2024/02/impacts-of-the-2023-banking-crisis
SOX-Liter: Changes to the UK Corporate Governance Landscape,"February 8, 2024",https://www.skadden.com/insights/publications/2024/02/sox-liter-changes-to-the-uk-corporate-governance-landscape
Closed-End Fund Activism: How to Level the Playing Field,"February 7, 2024",https://www.skadden.com/insights/publications/2024/02/closed-end-fund-activism
FCA Preserves Key Tool for Activists in Listing Rules Reform,"February 7, 2024",https://www.skadden.com/insights/publications/2024/02/fca-preserves-key-tool-for-activists
FTC AI Inquiry Signals Intensified Focus On Emerging Tech,"February 7, 2024",https://www.skadden.com/insights/publications/2024/02/ftc-ai-inquiry-signals-intensified-focus-on-emerging-tech
The New CCI Regulations: Changes to the UK PRIIPs Regime,"February 7, 2024",https://www.skadden.com/insights/publications/2024/02/the-new-cci-regulations
UK Employment Flash – February 2024,February 2024,https://www.skadden.com/insights/publications/2024/02/uk-employment-flash
CFPB Applies Adverse Action Notification Requirement to Artificial Intelligence Models,"February 6, 2024",https://www.skadden.com/insights/publications/2024/02/cfpb-applies-adverse-action-notification-requirement-to-artificial-intelligence-models
"FTC Opens Inquiry Into AI Partnerships, Signaling Intensified Focus on Emerging Tech","February 6, 2024",https://www.skadden.com/insights/publications/2024/02/ftc-opens-inquiry-into-ai-partnership
Motion To Dismiss Ruling Provides Further Insight Into How Courts View AI Training Data Cases,"February 6, 2024",https://www.skadden.com/-/media/files/publications/2024/02/motion-to-dismiss-ruling/motion_to_dismiss_ruling_provides_insight_into_how_courts_view_ai_training_data_cases.pdf?rev=e499d78243274875bd8e09e922cdbc4e
Latest Text of EU AI Act Proposes Expanding Obligations for High-Risk and General AI Systems and Banning a Third Category,"February 5, 2024",https://www.skadden.com/insights/publications/2024/02/latest-text-of-eu-ai-act-proposes-expanding-obligation
Reminders: Amended Beneficial Ownership Rules Effective; Upcoming Filing Deadlines,"February 5, 2024",https://www.skadden.com/insights/publications/2024/02/reminders-amended-beneficial-ownership-rules-effective
Tax Reform Project: Seeking Experts' Ideas for a Better Tax Code,"February 5, 2024",https://www.skadden.com/insights/publications/2024/02/tax-reform-project
Health Care Accounts Receivable Financing,February 2024,https://www.skadden.com/insights/publications/2024/02/health-care-accounts-receivable-financing
"Among Supreme Court's Headline Cases, First Amendment Questions May Be Most Consequential for Businesses","February 1, 2024",https://www.skadden.com/insights/publications/2024/02/among-supreme-courts-headline-cases
Centralising Cryptocurrencies: What’s Next for the UK’s Digital Pound?,"February 1, 2024",https://www.skadden.com/insights/publications/2024/02/centralising-cryptocurrencies
"Political Contribution Disclosure Rules in Illinois, Maryland, New Jersey, Pennsylvania, Philadelphia and Rhode Island","February 1, 2024",https://www.skadden.com/insights/publications/2024/02/political-contribution-disclosure-rules
Skadden Discusses Securities Class Actions in 2024,"February 1, 2024",https://www.skadden.com/insights/publications/2024/02/skadden-discusses-securities-class-actions-in-2024
U.S. Government Agencies Raise the Bar on National Security-Related Corporate Compliance,February 2024,https://www.skadden.com/insights/publications/2024/02/us-government-agencies-raise-the-bar
Legal Considerations When Supporting and Participating in National Party Conventions,"January 31, 2024",https://www.skadden.com/insights/publications/2024/01/legal-considerations-when-supporting
Ruling: Forfeiture-for-Competition Provisions in Delaware Partnership Agreements Are Not Subject to a Reasonableness Review,"January 31, 2024",https://www.skadden.com/insights/publications/2024/01/ruling-forfeiture-for-competition-provisions
The Corporate Transparency Act Is Here and the New York LLC Transparency Act Is Coming,"January 31, 2024",https://www.skadden.com/insights/publications/2024/01/the-corporate-transparency-act
